1 19 linear seqscan off 16 1 worker 12 4GB 29835 29854 no 10000008 1900 555556 107 2630.528 402.531
2 28 cyclic_1 indexscan off 16 1 sync 3 4GB 8472 8500 no 10000008 2870 555556 2694 323.310 1.404
3 3597 linear bitmapscan off 16 1 sync 3 32GB 6609 10206 no 10000008 359701 555556 19984 114.569 27.727
4 27310 cyclic_1 seqscan off 128 1 worker 3 32GB 22689 49999 yes 10000008 2730392 555556 171908 2590.576 513.922
5 42 linear_1 bitmapscan off 0 1 worker 3 32GB 8141 8183 no 10000008 4306 555556 3909 395.633 3.429
6 141 linear_10 seqscan off 128 1 worker 3 32GB 16847 16988 no 10000008 13551 555556 13068 2610.317 517.700
7 47310 cyclic bitmapscan off 16 1 worker 3 32GB 9897 57207 no 10000008 4731100 555556 262934 1939.163 416.399
8 42 cyclic indexscan off 128 1 sync 3 32GB 1121 1163 no 10000008 4300 555556 333 45.833 0.994
9 6 cyclic_25 seqscan off 16 1 worker 3 32GB 11010 11016 no 10000008 392 555556 392 2659.316 508.018
10 37310 linear_25 indexscan on 16 1 io_uring 3 4GB 97 37407 no 10000008 2809058 555556 454338 17895.460 1172.635
11 57310 linear_25 seqscan off 128 1 worker 3 4GB 759 58069 yes 10000008 4731974 555556 535730 2641.876 456.186
12 67310 cyclic_25 indexscan off 0 1 worker 3 4GB 21449 88759 no 10000008 5928706 555556 555174 34521.645 3736.462
13 94 cyclic_10 bitmapscan off 0 1 io_uring 3 32GB 20328 20422 yes 10000008 9261 555556 9037 1031.815 7.686
14 316 linear_25 indexscan off 16 1 io_uring 3 32GB 490 806 yes 10000008 16123 555556 15649 1879.336 10.059
15 1599 linear_10 seqscan off 16 1 sync 3 4GB 30130 31729 no 10000008 159250 555556 112186 2627.804 687.276
16 1599 cyclic_1 bitmapscan off 128 1 io_uring 3 4GB 12810 14409 no 10000008 160442 555556 29057 253.039 33.799
17 474 cyclic_10 indexscan on 0 1 worker 3 4GB 25829 26303 no 10000008 47335 555556 42210 5046.608 28.136
18 2 cyclic_25 bitmapscan off 0 1 io_uring 3 32GB 18526 18528 no 10000008 175 555556 175 22.482 0.561
19 1 cyclic_10 indexscan on 0 1 worker 12 4GB 2644 2645 yes 10000008 67 555556 67 9.258 0.426
20 711 cyclic_1 indexscan off 16 1 sync 3 32GB 4418 5129 yes 10000008 70684 555556 22850 2189.848 26.930
21 3 linear_10 indexscan off 0 1 io_uring 3 4GB 30537 30540 yes 10000008 305 555556 305 37.909 0.485
22 19 linear_1 smoothscan off 128 1 worker 12 32GB 10858 10877 no 10000008 1905 555556 1813 478.053 9.315
23 316 cyclic smoothscan off 16 1 worker 12 32GB 8966 9282 no 10000008 31700 555556 1855 172.647 13.250
