1 141 linear_1 bitmapscan off 0 1 sync -1 32GB 20273 20414 no 10000008 14187 555556 10369 357.738 8.876
2 94 linear seqscan off 0 1 sync -1 32GB 30330 30424 no 10000008 9401 555556 524 2582.776 492.453
3 47310 linear_1 bitmapscan off 16 1 sync -1 4GB 28690 76000 no 10000008 4730532 555556 283117 5584.793 474.164
4 87310 linear_10 bitmapscan off 0 1 sync -1 4GB 4435 91745 no 10000008 8401227 555556 555429 2883.658 1411.700
5 6 linear_10 indexscan off 0 1 sync -1 4GB 362 368 yes 10000008 335 555556 335 41.383 0.477
6 1066 cyclic_25 bitmapscan off 16 1 sync -1 32GB 23734 24800 no 10000008 88989 555556 79858 1200.728 86.263
7 13 linear_1 indexscan off 16 1 sync -1 4GB 10748 10761 yes 10000008 1313 555556 1272 151.114 0.878
8 47310 linear bitmapscan off 128 1 sync -1 4GB 6746 54056 no 10000008 4731000 555556 262835 2166.981 429.473
9 37310 uniform bitmapscan off 16 1 sync -1 4GB 7669 44979 no 10000008 3732994 555556 555426 10727.628 1572.965
10 141 cyclic seqscan off 128 1 sync -1 32GB 17452 17593 no 10000008 14200 555556 889 2608.431 540.055
11 47310 cyclic_10 indexscan off 16 1 sync -1 32GB 3486 50796 no 10000008 4481644 555556 383377 14781.861 2109.460
12 2398 linear_10 indexscan off 16 1 sync -1 32GB 11423 13821 yes 10000008 215619 555556 124976 12173.860 115.001
13 5395 cyclic_10 indexscan off 0 1 sync -1 4GB 31202 36597 no 10000008 538504 555556 209180 16256.898 245.413
14 1 cyclic_10 seqscan off 16 1 sync -1 32GB 7484 7485 no 10000008 65 555556 65 2607.025 536.520
15 47310 linear_10 bitmapscan off 128 1 sync -1 32GB 31850 79160 no 10000008 4723828 555556 458623 3619.268 701.044
16 47310 cyclic indexscan off 128 1 sync -1 4GB 18004 65314 no 10000008 4731000 555556 262933 1954.483 931.355
17 711 linear_10 seqscan off 16 1 sync -1 4GB 22441 23152 no 10000008 70048 555556 59264 2618.284 470.023
18 12138 linear indexscan off 128 1 sync -1 32GB 7400 19538 yes 10000008 1213801 555556 67434 336.931 96.536
19 63 cyclic_10 seqscan off 0 1 sync -1 32GB 20252 20315 no 10000008 6140 555556 6037 2582.939 532.464
20 1066 linear_25 indexscan off 128 1 sync -1 32GB 25603 26669 yes 10000008 90388 555556 81144 9906.922 53.584
21 63 linear indexscan off 16 1 sync -1 32GB 23960 24023 yes 10000008 6301 555556 351 5.512 1.348
