1 42 cyclic_100 indexscan 0 1 worker 12 4GB 261 303 no 10000008 418960 555556 189680 17186.478 311.380
2 3 cyclic indexscan 16 1 io_uring 3 4GB 963 966 no 10000008 30100 555556 1767 49.098 10.329
3 19 cyclic_500 indexscan 128 1 sync 3 4GB 248 267 yes 10000008 119502 555556 107241 1546.981 111.719
4 291 cyclic_500 indexscan 128 1 sync 3 32GB 74 365 no 10000008 1761193 555556 524421 9693.579 1429.530
5 241 cyclic_10 indexscan 0 1 worker 3 32GB 31 272 no 10000008 2409250 555556 154058 10155.921 1225.467
6 741 cyclic indexscan 128 1 worker 3 32GB 17 758 no 10000008 7410100 555556 411767 6588.361 2882.537
7 891 cyclic_10 indexscan 16 1 worker 12 32GB 105 996 no 10000008 8886683 555556 507366 10813.051 4462.499
8 941 cyclic_100 indexscan 128 1 worker 12 4GB 17 958 no 10000008 8866943 555556 555553 13033.800 11542.460
9 3 linear_500 indexscan 128 1 worker 3 4GB 928 931 yes 10000008 15819 555556 15566 867.454 15.463
10 6 cyclic_500 indexscan 16 1 io_uring 3 4GB 31 37 no 10000008 29979 555556 29071 693.924 33.813
11 9 linear_500 indexscan 128 1 sync 3 4GB 108 117 yes 10000008 49167 555556 46919 689.783 47.972
12 291 linear_10 indexscan 0 1 io_uring 3 4GB 568 859 yes 10000008 2910724 555556 181935 18594.592 1456.025
13 42 cyclic_1 indexscan 16 1 sync 3 4GB 14 56 no 10000008 419973 555556 25376 641.897 177.334
14 6 cyclic indexscan 128 1 sync 3 4GB 536 542 no 10000008 60100 555556 3434 108.848 20.090
15 791 linear indexscan 0 1 io_uring 3 4GB 107 898 yes 10000008 7910001 555556 439445 5226.252 1695.864
16 13 linear indexscan 128 1 worker 3 32GB 835 848 yes 10000008 130001 555556 7224 53.796 31.266
17 3 uniform indexscan 0 1 io_uring 3 32GB 174 177 no 10000008 29958 555556 29170 3135.477 31.833
18 841 uniform indexscan 128 1 sync 3 4GB 52 893 no 10000008 8410271 555556 555556 19466.799 13351.695
19 191 linear_100 indexscan 0 1 sync 3 32GB 778 969 yes 10000008 1652288 555556 224245 19214.677 1038.221
20 141 linear_1 indexscan 16 1 worker 12 4GB 689 830 yes 10000008 1409893 555556 80343 1622.084 645.072
21 1 cyclic_500 indexscan 16 1 worker 12 32GB 239 240 no 10000008 6113 555556 6080 73.017 8.766
